2024-12-14 15:18:14,152 - __main__ - INFO - Initialized dense network with 55 genes
2024-12-14 15:18:14,152 - __main__ - INFO - Timestep 0: Activating Cortical_Development
2024-12-14 15:18:14,152 - __main__ - DEBUG - Gene PAX6 - Level: 0.716, Change: 0.716
2024-12-14 15:18:14,152 - __main__ - DEBUG - Gene EMX2 - Level: 0.716, Change: 0.716
2024-12-14 15:18:14,152 - __main__ - DEBUG - Gene FOXG1 - Level: 0.716, Change: 0.716
2024-12-14 15:18:14,152 - __main__ - DEBUG - Gene NEUROD1 - Level: 0.990, Change: 0.990
2024-12-14 15:18:14,153 - __main__ - DEBUG - Gene NGN2 - Level: 0.990, Change: 0.990
2024-12-14 15:18:14,153 - __main__ - DEBUG - Gene NGN1 - Level: 0.990, Change: 0.990
2024-12-14 15:18:14,188 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2024-12-14 15:18:14,191 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-12-14 15:18:14,192 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-14 15:18:14,192 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-12-14 15:18:14,192 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-12-14 15:18:14,192 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-14 15:18:14,192 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-14 15:18:14,193 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-12-14 15:18:14,193 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-12-14 15:18:14,193 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-12-14 15:18:14,193 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-12-14 15:18:14,193 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/rexionmars/estudos/MakeConciency/.venv/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
